MF Code,incept_date,schemecode,sdx_returns,sharpex_returns,sotinox_returns,betax_returns,alphax_returns,treynorx_returns,sdy_returns,sharpey_returns,sotinoy_returns,betay_returns,alphay_returns,treynory_returns,rank_sd,rank_sharpe,rank_sotino,rank_beta,rank_alpha,rank_treynor,index_name,s_name,avg_std_dev,avg_sharpe,avg_sotino,avg_beta,avg_alpha,avg_treyno,no_of_funds_total
Mirae Asset Nifty 1D Rate Liquid ETF,2023-07-27,48119,,,,,,,,,,,,,,,,,,,Nifty 1D Rate Index,Mirae Asset Nifty 1D Rate Liquid ETF,1.28,6.42,10.5,0.21,3.44,729.47,17
Nippon India Nifty Next 50 Junior BeES FoF-Reg(G),2019-03-08,40664,14.8,3.38,5.54,0.43,48.69,116.93,0.93,0.21,0.35,0.43,0.19,0.46,47,9,10,38,2,4,NIFTY NEXT 50,Nippon India Nifty Next 50 Junior BeES FoF-Reg(G),8.71,2.66,4.36,0.46,19.3,63.9,53
ITI Focused Equity Fund-Reg(G),2023-06-19,45722,,,,,,,,,,,,,,,,,,,NIFTY 500 - TRI,ITI Focused Equity Fund-Reg(G),13.55,2.43,3.62,0.92,15.34,35.98,41
Nippon India Taiwan Equity Fund-Reg(G),2021-12-11,45690,26.77,1.11,1.87,0.32,23.01,92.53,1.69,0.07,0.12,0.32,0.09,0.37,8,4,4,7,2,4,Taiwan Capitalization Weighted Stock Index,Nippon India Taiwan Equity Fund-Reg(G),15.3,1.06,1.85,0.24,11.38,86.4,8
Union Focused Fund-Reg(G),2019-08-05,22068,14.12,1.82,2.59,0.98,6.58,26.06,0.89,0.11,0.16,0.98,0.03,0.1,22,31,32,27,31,32,BSE 500 - TRI,Union Focused Fund-Reg(G),13.67,2.56,3.79,0.9,17.47,38.98,33
PGIM India Large and Mid Cap Fund(G),2024-02-12,48543,,,,,,,,,,,,,,,,,,,NIFTY LargeMidcap 250 - TRI,PGIM India Large and Mid Cap Fund(G),14.14,2.59,3.77,0.92,18.57,39.45,26
PGIM India Liquid Fund(G),2007-09-04,818,0.07,28.9,14.99,0.0,2.04,-28258.57,0.0,1.82,0.94,0.0,0.01,-112.14,17,18,20,13,32,35,CRISIL Liquid Debt Index,PGIM India Liquid Fund(G),0.09,27.68,17.28,0.0,2.25,6474.33,36
DSP Gold ETF,2023-04-28,47938,10.17,1.47,2.66,0.25,14.24,59.04,0.64,0.09,0.17,0.25,0.06,0.23,1,2,2,8,17,9,Gold-India,DSP Gold ETF,15.57,1.15,2.03,0.62,14.46,42.92,22
Bandhan CRISIL IBX Gilt April 2032 Index Fund-Reg(G),2023-02-15,47601,2.22,1.88,3.25,0.29,3.28,14.49,0.14,0.12,0.2,0.29,0.01,0.06,7,8,8,8,18,8,CRISIL IBX Gilt Index - April 2032,Bandhan CRISIL IBX Gilt April 2032 Index Fund-Reg(G),2.73,1.73,3.05,0.53,3.61,17.49,19
UTI Credit Risk Fund-Reg(G),2012-11-19,14960,0.57,6.83,12.37,0.05,3.75,81.09,0.04,0.43,0.78,0.05,0.01,0.32,3,4,7,8,11,8,CRISIL Credit Risk Debt Index,UTI Credit Risk Fund-Reg(G),1.43,5.16,12.51,0.06,4.83,-68.94,15
Aditya Birla SL CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund-Reg(G),2022-10-13,46897,1.12,3.62,6.97,0.14,3.63,29.61,0.07,0.23,0.44,0.14,0.01,0.12,21,21,23,30,29,30,CRISIL IBX 50:50 Gilt Plus SDL Index - April 2028,Aditya Birla SL CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund-Reg(G),1.33,3.41,6.63,0.13,3.55,48.3,52
Canara Rob Short Duration Fund-Reg(G),2011-04-25,12382,0.67,5.41,10.12,0.07,3.38,53.37,0.04,0.34,0.64,0.07,0.01,0.21,3,8,8,3,20,7,CRISIL Short Duration Debt Index,Canara Rob Short Duration Fund-Reg(G),0.75,5.09,8.81,0.08,3.48,283.0,26
Invesco India - Invesco EQQQ NASDAQ-100 ETF FoF-Reg(G),2022-04-21,45943,16.05,2.0,3.53,0.53,31.53,60.45,1.01,0.13,0.22,0.53,0.13,0.24,35,7,10,37,6,19,Nasdaq-100 - TRI,Invesco India - Invesco EQQQ NASDAQ-100 ETF FoF-Reg(G),15.38,1.08,1.93,0.46,14.04,55.96,56
Aditya Birla SL Silver ETF,2022-01-31,46194,21.12,0.79,1.39,1.08,13.83,15.55,1.33,0.05,0.09,1.08,0.05,0.06,15,18,19,16,21,18,Silver,Aditya Birla SL Silver ETF,15.57,1.15,2.03,0.62,14.46,42.92,22
SBI FMP-81-1157D-Reg(G),2023-03-31,47876,0.45,4.17,8.32,0.04,1.79,52.37,0.03,0.26,0.52,0.04,0.01,0.21,21,56,55,23,71,27,CRISIL Medium Duration Debt Index,SBI FMP-81-1157D-Reg(G),0.74,5.74,11.73,0.06,3.16,69.76,92
Canara Rob Banking and PSU Debt Fund-Reg(G),2022-08-22,46050,0.72,5.17,9.09,0.07,3.53,56.73,0.05,0.33,0.57,0.07,0.01,0.23,11,16,16,10,21,12,CRISIL Banking and PSU Debt Index,Canara Rob Banking and PSU Debt Fund-Reg(G),0.78,5.39,9.93,0.08,3.74,76.05,26
UTI BSE Low Volatility Index Fund-Reg(G),2022-03-03,46409,10.47,3.04,5.45,0.63,19.48,50.07,0.66,0.19,0.34,0.63,0.08,0.2,2,5,2,2,50,14,BSE Low Volatility Index - TRI,UTI BSE Low Volatility Index Fund-Reg(G),15.55,2.33,3.49,0.99,17.73,37.71,95
Old Bridge Focused Equity Fund-Reg(G),2024-01-24,48527,,,,,,,,,,,,,,,,,,,BSE 500 - TRI,Old Bridge Focused Equity Fund-Reg(G),13.55,2.43,3.62,0.92,15.34,35.98,41
Nippon India Nifty SDL Plus G-Sec-Jun 2028 Maturity 70:30 Index Fund-Reg(G),2022-11-24,46822,1.11,3.7,7.43,0.12,3.73,35.0,0.07,0.23,0.47,0.12,0.01,0.14,20,20,20,25,21,25,Nifty SDL Plus G-Sec Jun 2028 70:30 Index,Nippon India Nifty SDL Plus G-Sec-Jun 2028 Maturity 70:30 Index Fund-Reg(G),1.33,3.41,6.63,0.13,3.55,48.3,52
SBI FMP-64-1169D-Reg(G),2022-08-30,46858,0.43,4.09,7.69,0.05,1.66,36.44,0.03,0.26,0.48,0.05,0.01,0.14,20,57,60,46,83,62,CRISIL Medium Duration Debt Index,SBI FMP-64-1169D-Reg(G),0.74,5.74,11.73,0.06,3.16,69.76,92
Aditya Birla SL Retirement Fund-30-Reg(G),2019-03-11,32078,12.96,2.23,3.19,0.51,27.32,56.3,0.82,0.14,0.2,0.51,0.11,0.22,32,32,34,31,9,18,NIFTY 500 - TRI,Aditya Birla SL Retirement Fund-30-Reg(G),8.75,2.57,3.95,0.85,20.29,58.89,38
Aditya Birla SL NASDAQ 100 FOF-Reg(G),2021-11-01,45711,15.96,1.83,3.29,0.28,28.32,103.55,1.01,0.12,0.21,0.28,0.11,0.41,33,16,14,20,14,13,Nasdaq-100 - TRI,Aditya Birla SL NASDAQ 100 FOF-Reg(G),15.38,1.08,1.93,0.46,14.04,55.96,56
Quant Commodities Fund-Reg(G),2023-12-27,48343,,,,,,,,,,,,,,,,,,,NIFTY COMMODITIES - TRI,Quant Commodities Fund-Reg(G),14.83,2.6,3.92,0.92,20.6,41.25,46
Aditya Birla SL CRISIL IBX Gilt - April 2026 Index Fund-Reg(G),2022-10-07,46891,0.77,5.15,10.56,0.08,3.73,49.74,0.05,0.32,0.67,0.08,0.01,0.2,9,10,10,11,17,11,CRISIL IBX Gilt Index - April 2026,Aditya Birla SL CRISIL IBX Gilt - April 2026 Index Fund-Reg(G),0.94,4.78,9.57,0.1,3.67,61.6,30
Nippon India Nifty Alpha Low Volatility 30 Index Fund(G),2022-08-19,46717,12.46,3.21,5.24,0.81,24.42,49.72,0.78,0.2,0.33,0.81,0.1,0.2,6,3,4,9,44,15,NIFTY Alpha Low-Volatility 30 - TRI,Nippon India Nifty Alpha Low Volatility 30 Index Fund(G),15.55,2.33,3.49,0.99,17.73,37.71,95
UTI Equity Savings Fund-Reg(G),2018-08-30,35818,4.06,3.36,5.77,0.19,13.03,71.01,0.26,0.21,0.36,0.19,0.05,0.28,11,7,5,13,39,15,Crisil Equity Savings Index,UTI Equity Savings Fund-Reg(G),7.39,2.59,3.98,0.33,18.79,66.11,52
SBI FMP-44-1855D-Reg(G),2021-06-02,45552,0.58,3.19,6.49,0.05,1.76,39.26,0.04,0.2,0.41,0.05,0.01,0.16,33,70,68,43,75,59,CRISIL Medium to Long Term Debt Index,SBI FMP-44-1855D-Reg(G),0.74,5.74,11.73,0.06,3.16,69.76,92
Bandhan CRISIL IBX 90:10 SDL Plus Gilt - April 2032 Index Fund-Reg(G),2022-11-29,46814,1.95,2.14,4.14,0.15,3.7,27.95,0.12,0.14,0.26,0.15,0.01,0.11,2,2,1,4,8,4,CRISIL IBX 90:10 SDL Plus Gilt Index - April 2032,Bandhan CRISIL IBX 90:10 SDL Plus Gilt - April 2032 Index Fund-Reg(G),2.73,1.73,3.05,0.53,3.61,17.49,19
DSP Bond Fund-Reg(G),1997-04-29,637,0.89,4.36,7.58,0.08,3.63,51.11,0.06,0.27,0.48,0.08,0.01,0.2,11,12,15,9,20,9,CRISIL Medium Duration Debt Index,DSP Bond Fund-Reg(G),0.94,4.78,9.57,0.1,3.67,61.6,30
Quant Teck Fund-Reg(G),2023-09-11,48195,,,,,,,,,,,,,,,,,,,BSE TECk Index - TRI,Quant Teck Fund-Reg(G),14.99,1.87,3.62,0.71,13.88,39.23,5
Edelweiss Nifty Midcap150 Momentum 50 Index Fund-Reg(G),2022-11-30,47175,18.72,3.03,4.28,1.02,36.87,55.44,1.18,0.19,0.27,1.02,0.15,0.22,83,6,9,66,4,3,Nifty Midcap150 Momentum 50 - TRI,Edelweiss Nifty Midcap150 Momentum 50 Index Fund-Reg(G),15.55,2.33,3.49,0.99,17.73,37.71,95
Axis Gilt Fund-Reg(G),2012-01-23,15652,2.45,2.21,4.08,0.3,4.46,18.12,0.15,0.14,0.26,0.3,0.02,0.07,27,14,12,29,4,16,CRISIL Dynamic Gilt Index,Axis Gilt Fund-Reg(G),2.07,2.34,4.22,0.24,3.62,20.61,35
Aditya Birla SL Gold Fund(G),2012-03-20,16220,12.01,1.25,2.24,0.09,14.69,173.3,0.76,0.08,0.14,0.09,0.06,0.69,11,11,10,2,5,2,Gold-India,Aditya Birla SL Gold Fund(G),12.9,1.28,2.32,0.43,14.47,74.75,15
ITI Balanced Advantage Fund-Reg(G),2019-12-31,44362,10.37,1.83,2.38,0.39,17.72,48.33,0.65,0.12,0.15,0.39,0.07,0.19,21,25,26,15,14,22,NIFTY 50 Hybrid Composite Debt 50:50 Index,ITI Balanced Advantage Fund-Reg(G),8.49,2.5,3.7,0.75,19.81,58.1,26
ICICI Pru Nifty IT Index Fund-Reg(G),2022-08-18,46707,18.64,1.07,2.09,0.74,5.64,27.01,1.17,0.07,0.13,0.74,0.02,0.11,82,92,92,6,67,64,NIFTY IT - TRI,ICICI Pru Nifty IT Index Fund-Reg(G),15.55,2.33,3.49,0.99,17.73,37.71,95
Edelweiss ELSS Tax saver Fund-Reg(G),2008-12-30,7545,13.33,2.34,3.44,0.97,12.4,32.18,0.84,0.15,0.22,0.97,0.05,0.13,31,42,37,45,39,46,NIFTY 500 - TRI,Edelweiss ELSS Tax saver Fund-Reg(G),13.47,2.44,3.64,0.88,15.78,37.67,59
DSP CRISIL SDL Plus G-Sec Apr 2033 50:50 Index Fund-Reg(G),2023-01-25,47476,1.91,2.16,3.91,0.23,3.43,18.32,0.12,0.14,0.25,0.23,0.01,0.07,1,1,3,6,14,6,CRISIL SDL Plus G-Sec Apr 2033 50:50 Index,DSP CRISIL SDL Plus G-Sec Apr 2033 50:50 Index Fund-Reg(G),2.73,1.73,3.05,0.53,3.61,17.49,19
Taurus Flexi Cap Fund-Reg(G),1994-01-29,3317,14.8,2.44,3.56,1.01,16.56,35.78,0.93,0.15,0.22,1.01,0.07,0.14,32,19,20,33,15,17,BSE 500 - TRI,Taurus Flexi Cap Fund-Reg(G),13.55,2.43,3.62,0.92,15.34,35.98,41
Union Largecap Fund-Reg(G),2017-05-11,33066,13.74,1.98,2.81,1.01,7.61,26.91,0.87,0.12,0.18,1.01,0.03,0.11,26,30,32,31,27,32,BSE 100 - TRI,Union Largecap Fund-Reg(G),13.14,2.23,3.38,0.94,11.11,31.2,36
Axis Retirement Savings Fund-Dynamic Plan-Reg(G),2019-12-20,43842,10.65,2.38,3.64,0.45,23.94,56.42,0.67,0.15,0.23,0.45,0.1,0.22,24,25,23,25,15,17,CRISIL Hybrid 35+65 - Aggressive Index,Axis Retirement Savings Fund-Dynamic Plan-Reg(G),8.75,2.57,3.95,0.85,20.29,58.89,38
Bandhan Credit Risk Fund-Reg(G),2017-03-03,36529,0.99,3.7,6.58,0.1,3.35,38.53,0.06,0.23,0.41,0.1,0.01,0.15,8,11,14,14,14,12,NIFTY Credit Risk Bond Index,Bandhan Credit Risk Fund-Reg(G),1.43,5.16,12.51,0.06,4.83,-68.94,15
ICICI Pru Nifty Midcap 150 ETF,2020-01-24,44494,16.25,2.84,4.01,0.95,29.06,48.36,1.02,0.18,0.25,0.95,0.12,0.19,84,16,40,53,33,27,Nifty Midcap 150 - TRI,ICICI Pru Nifty Midcap 150 ETF,15.55,2.05,3.31,1.09,15.7,47.58,129
Bank of India Mfg & Infra Fund-Reg(G),2010-03-05,8484,16.73,2.98,4.15,1.01,30.29,49.39,1.05,0.19,0.26,1.01,0.12,0.2,3,10,10,5,13,11,BSE India Infrastructure Index - TRI,Bank of India Mfg & Infra Fund-Reg(G),18.27,2.97,4.14,1.08,33.24,50.51,19
ITI ELSS Tax Saver Fund-Reg(G),2019-10-18,44014,15.27,2.98,4.28,0.97,26.64,46.7,0.96,0.19,0.27,0.97,0.11,0.19,50,6,7,48,4,10,NIFTY 500 - TRI,ITI ELSS Tax Saver Fund-Reg(G),13.47,2.44,3.64,0.88,15.78,37.67,59
Bandhan G-Sec-Constant Maturity Plan-Reg(G),2002-03-09,1079,2.71,1.63,2.76,0.33,3.38,13.48,0.17,0.1,0.17,0.33,0.01,0.05,6,1,1,5,1,1,Crisil 10 Yr Gilt Index,Bandhan G-Sec-Constant Maturity Plan-Reg(G),2.67,1.51,2.56,0.32,3.02,12.39,6
Tata Young Citizen Fund,1995-10-14,3304,11.09,2.3,3.57,0.39,24.32,64.79,0.7,0.15,0.22,0.39,0.1,0.26,25,29,26,16,14,9,NIFTY 500 - TRI,Tata Young Citizen Fund,8.75,2.57,3.95,0.85,20.29,58.89,38
Mirae Asset Short Duration Fund-Reg(G),2018-03-16,38870,0.73,5.01,8.88,0.07,3.45,49.44,0.05,0.32,0.56,0.07,0.01,0.2,11,12,19,10,17,10,CRISIL Short Duration Debt Index,Mirae Asset Short Duration Fund-Reg(G),0.75,5.09,8.81,0.08,3.48,283.0,26
Nippon India Silver ETF FOF-Reg(G),2022-02-02,46198,20.53,0.83,1.51,1.1,13.68,15.62,1.29,0.05,0.09,1.1,0.05,0.06,52,52,51,52,37,53,Silver,Nippon India Silver ETF FOF-Reg(G),8.71,2.66,4.36,0.46,19.3,63.9,53
LIC MF Infra Fund-Reg(G),2008-03-24,4324,18.76,3.26,4.61,0.96,42.54,63.78,1.18,0.21,0.29,0.96,0.17,0.25,13,3,2,3,1,1,Nifty Infrastructure - TRI,LIC MF Infra Fund-Reg(G),18.27,2.97,4.14,1.08,33.24,50.51,19
Franklin India Overnight Fund(G),2019-05-08,43438,0.01,179.97,12.94,0.0,1.71,33855.7,0.0,11.34,0.82,0.0,0.01,134.35,13,12,17,9,16,3,Nifty 1D Rate Index,Franklin India Overnight Fund(G),0.04,130.22,16.28,0.0,1.88,15979.3,32
Bank of India Multi Asset Allocation Fund-Reg(G),2024-02-28,48027,,,,,,,,,,,,,,,,,,,NIFTY Composite Debt Index,Bank of India Multi Asset Allocation Fund-Reg(G),8.58,2.8,4.31,1.23,22.73,69.73,13
Tata S&P BSE Sensex Index Fund-Reg(G),2003-02-25,3249,12.78,1.52,2.39,0.99,0.23,19.63,0.81,0.1,0.15,0.99,0.0,0.08,15,90,90,54,91,91,BSE SENSEX - TRI,Tata S&P BSE Sensex Index Fund-Reg(G),15.55,2.33,3.49,0.99,17.73,37.71,95
Axis Regular Saver Fund-Reg(G),2010-07-16,9765,3.34,2.02,3.27,0.24,5.97,28.05,0.21,0.13,0.21,0.24,0.02,0.11,8,18,18,16,18,17,NIFTY 50 Hybrid Composite Debt 15:85 Index,Axis Regular Saver Fund-Reg(G),3.42,2.94,4.61,0.2,9.31,54.02,19
Sundaram Banking & PSU Fund(G),2004-12-30,2960,0.73,5.68,10.62,0.07,3.91,56.95,0.05,0.36,0.67,0.07,0.02,0.23,12,11,7,16,7,11,NIFTY Banking and PSU Debt Index,Sundaram Banking & PSU Fund(G),0.78,5.39,9.93,0.08,3.74,76.05,26
Kotak Technology Fund-Reg(G),2024-03-04,48587,,,,,,,,,,,,,,,,,,,BSE TECk Index - TRI,Kotak Technology Fund-Reg(G),14.99,1.87,3.62,0.71,13.88,39.23,5
Nippon India Income Fund(G),1998-01-01,2580,2.2,1.75,2.99,0.25,3.05,15.57,0.14,0.11,0.19,0.25,0.01,0.06,50,47,47,48,45,46,NIFTY Medium to Long Duration Debt Index,Nippon India Income Fund(G),1.33,3.41,6.63,0.13,3.55,48.3,52
Tata Nifty Midcap 150 Momentum 50 Index Fund-Reg(G),2022-10-20,47010,18.57,3.04,4.3,1.01,36.74,55.57,1.17,0.19,0.27,1.01,0.15,0.22,81,4,8,65,5,2,Nifty Midcap150 Momentum 50 - TRI,Tata Nifty Midcap 150 Momentum 50 Index Fund-Reg(G),15.55,2.33,3.49,0.99,17.73,37.71,95
HDFC NIFTY Private Bank ETF,2022-11-16,46045,16.17,0.54,0.82,1.1,-11.09,7.86,1.02,0.03,0.05,1.1,-0.04,0.03,80,127,127,100,128,127,Nifty Private Bank - TRI,HDFC NIFTY Private Bank ETF,15.55,2.05,3.31,1.09,15.7,47.58,129
Mirae Asset Global X Artificial Intelligence & Technology ETF FoF-Reg(G),2022-09-07,45380,17.67,1.49,2.55,0.25,25.45,104.58,1.11,0.09,0.16,0.25,0.1,0.42,43,25,25,17,17,12,Indxx Artificial Intelligence & Big Data Index - TRI,Mirae Asset Global X Artificial Intelligence & Technology ETF FoF-Reg(G),15.38,1.08,1.93,0.46,14.04,55.96,56
Bank of India Large & Mid Cap Equity Fund-Reg(G),2008-10-21,6434,15.8,2.36,3.26,1.05,16.91,35.43,1.0,0.15,0.21,1.05,0.07,0.14,23,20,21,25,16,18,BSE 250 LargeMidCap Index - TRI,Bank of India Large & Mid Cap Equity Fund-Reg(G),14.14,2.59,3.77,0.92,18.57,39.45,26
Bandhan FTP-179-3652D-Reg(G),2019-03-13,42924,1.6,2.69,4.87,0.12,3.93,37.27,0.1,0.17,0.31,0.12,0.02,0.15,88,79,78,86,36,61,CRISIL Composite Bond Index,Bandhan FTP-179-3652D-Reg(G),0.74,5.74,11.73,0.06,3.16,69.76,92
UTI CRISIL SDL Maturity April 2033 Index Fund-Reg(G),2022-12-21,47337,1.99,2.13,4.06,0.15,3.78,28.95,0.13,0.13,0.26,0.15,0.02,0.11,3,3,2,3,5,2,CRISIL IBX SDL Index - April 2033,UTI CRISIL SDL Maturity April 2033 Index Fund-Reg(G),2.73,1.73,3.05,0.53,3.61,17.49,19
SBI LT Advantage Fund-V-Reg(G),2018-03-27,38291,12.48,2.39,3.7,0.87,12.93,34.22,0.79,0.15,0.23,0.87,0.05,0.14,18,36,21,23,36,36,BSE 500,SBI LT Advantage Fund-V-Reg(G),13.47,2.44,3.64,0.88,15.78,37.67,59
DSP Nifty 50 ETF,2021-12-23,36811,12.71,1.76,2.74,0.99,4.64,22.63,0.8,0.11,0.17,0.99,0.02,0.09,20,89,90,61,98,103,NIFTY 50 - TRI,DSP Nifty 50 ETF,15.55,2.05,3.31,1.09,15.7,47.58,129
SBI FMP-72-1239D-Reg(G),2022-11-22,47208,0.7,2.6,4.77,0.08,1.66,21.55,0.04,0.16,0.3,0.08,0.01,0.09,48,83,82,64,84,74,CRISIL Medium Duration Debt Index,SBI FMP-72-1239D-Reg(G),0.74,5.74,11.73,0.06,3.16,69.76,92
Axis Nifty Midcap 50 Index Fund-Reg(G),2022-03-28,46459,17.59,2.58,3.77,1.04,25.17,43.52,1.11,0.16,0.24,1.04,0.1,0.17,61,50,47,67,43,48,Nifty Midcap 50 - TRI,Axis Nifty Midcap 50 Index Fund-Reg(G),15.55,2.33,3.49,0.99,17.73,37.71,95
Axis Nifty Smallcap 50 Index Fund-Reg(G),2022-03-10,45856,20.0,2.75,3.97,1.05,34.68,52.32,1.26,0.17,0.25,1.05,0.14,0.21,90,27,25,69,7,6,Nifty Smallcap 50 - TRI,Axis Nifty Smallcap 50 Index Fund-Reg(G),15.55,2.33,3.49,0.99,17.73,37.71,95
ITI Large Cap Fund-Reg(G),2020-12-24,44400,15.43,2.07,2.83,1.09,10.79,29.28,0.97,0.13,0.18,1.09,0.04,0.12,33,25,31,35,15,21,NIFTY 100 - TRI,ITI Large Cap Fund-Reg(G),13.14,2.23,3.38,0.94,11.11,31.2,36
SBI FMP-61-1927D-Reg(G),2022-03-22,46511,0.78,2.39,4.24,0.09,1.66,20.01,0.05,0.15,0.27,0.09,0.01,0.08,58,86,86,77,82,77,CRISIL Medium to Long Term Debt Index,SBI FMP-61-1927D-Reg(G),0.74,5.74,11.73,0.06,3.16,69.76,92
Mahindra Manulife Multi Asset Allocation Fund-Reg(G),2024-03-13,48449,,,,,,,,,,,,,,,,,,,NIFTY 500 - TRI,Mahindra Manulife Multi Asset Allocation Fund-Reg(G),8.58,2.8,4.31,1.23,22.73,69.73,13
UTI Nifty 500 Value 50 Index Fund-Reg(G),2023-05-10,47577,24.36,2.79,3.93,1.41,40.67,48.23,1.53,0.18,0.25,1.41,0.16,0.19,94,20,40,94,2,26,NIFTY500 Value 50 - TRI,UTI Nifty 500 Value 50 Index Fund-Reg(G),15.55,2.33,3.49,0.99,17.73,37.71,95
ICICI Pru Global Advantage Fund(FOF)(G),2019-10-07,43240,12.1,0.7,1.28,0.44,6.98,19.1,0.76,0.04,0.08,0.44,0.03,0.08,14,36,36,29,38,36,S&P Global 1200,ICICI Pru Global Advantage Fund(FOF)(G),15.38,1.08,1.93,0.46,14.04,55.96,56
Invesco India - Invesco Global Consumer Trends FoF-Reg(G),2020-12-24,45201,18.3,0.57,0.97,1.08,7.28,9.65,1.15,0.04,0.06,1.08,0.03,0.04,45,38,39,56,36,42,MSCI World Consumer Discretionary Index - Net Dividend,Invesco India - Invesco Global Consumer Trends FoF-Reg(G),15.38,1.08,1.93,0.46,14.04,55.96,56
JM Aggressive Hybrid Fund(G),1995-04-01,1847,12.29,3.62,5.3,0.32,43.5,139.51,0.77,0.23,0.33,0.32,0.17,0.55,50,4,9,26,1,1,CRISIL Hybrid 35+65 - Aggressive Index,JM Aggressive Hybrid Fund(G),7.39,2.59,3.98,0.33,18.79,66.11,52
Kotak FMP-324-109D(G),2023-11-24,48360,,,,,,,,,,,,,,,,,,,NIFTY Ultra Short Duration Debt Index,Kotak FMP-324-109D(G),0.74,5.74,11.73,0.06,3.16,69.76,92
UTI FTIF-XXXV-I(1260D)(G),2022-11-14,45364,0.9,4.43,9.27,0.09,3.68,45.59,0.06,0.28,0.58,0.09,0.01,0.18,68,53,49,69,48,45,CRISIL Medium Duration Debt Index,UTI FTIF-XXXV-I(1260D)(G),0.74,5.74,11.73,0.06,3.16,69.76,92
HDFC FMP-Sr 46-1359D-Sep 2022-Reg(G),2022-10-11,46945,0.86,4.69,9.93,0.09,3.78,47.43,0.05,0.3,0.63,0.09,0.02,0.19,66,42,37,65,45,42,NIFTY Medium Duration Debt Index,HDFC FMP-Sr 46-1359D-Sep 2022-Reg(G),0.74,5.74,11.73,0.06,3.16,69.76,92
UTI Medium to Long Duration Fund-Reg(G),1998-06-17,3441,1.98,1.67,2.77,0.22,2.62,15.09,0.12,0.11,0.17,0.22,0.01,0.06,44,50,50,43,50,48,CRISIL Medium to Long Term Debt Index,UTI Medium to Long Duration Fund-Reg(G),1.33,3.41,6.63,0.13,3.55,48.3,52
ICICI Pru Nifty Smallcap 250 Index Fund(G),2021-11-02,45684,18.38,2.64,3.62,0.96,29.91,50.55,1.16,0.17,0.23,0.96,0.12,0.2,78,45,57,29,18,11,Nifty Smallcap 250 - TRI,ICICI Pru Nifty Smallcap 250 Index Fund(G),15.55,2.33,3.49,0.99,17.73,37.71,95
Bandhan US Equity FoF-Reg(G),2021-08-20,45674,16.48,2.14,3.79,0.29,34.22,119.9,1.04,0.13,0.24,0.29,0.14,0.48,38,5,5,23,3,8,Russell 1000 Index,Bandhan US Equity FoF-Reg(G),15.38,1.08,1.93,0.46,14.04,55.96,56
Bandhan US Equity FoF-Reg(IDCW),2021-08-20,45675,16.48,2.14,3.79,0.29,34.22,119.9,1.04,0.13,0.24,0.29,0.14,0.48,37,6,6,22,2,9,Russell 1000 Index,Bandhan US Equity FoF-Reg(IDCW),15.38,1.08,1.93,0.46,14.04,55.96,56
Nippon India Japan Equity Fund(G),2014-08-26,24620,16.07,0.44,0.76,0.24,1.44,30.04,1.01,0.03,0.05,0.24,0.01,0.12,7,6,6,6,6,6,BSE 500 Japan - TRI,Nippon India Japan Equity Fund(G),15.3,1.06,1.85,0.24,11.38,86.4,8
LIC MF Nifty 50 Index Fund(G),2002-11-28,2129,12.77,1.69,2.62,0.98,2.47,21.87,0.8,0.11,0.16,0.98,0.01,0.09,13,83,82,38,84,84,NIFTY 50 - TRI,LIC MF Nifty 50 Index Fund(G),15.55,2.33,3.49,0.99,17.73,37.71,95
Axis Nifty AAA Bond Plus SDL Apr 2026 50:50 ETF FoF-Reg(G),2021-10-20,45699,1.71,2.26,4.07,0.01,3.83,444.45,0.11,0.14,0.26,0.01,0.02,1.76,39,42,40,1,14,1,Nifty AAA Bond Plus SDL Apr 2026 50:50 Index,Axis Nifty AAA Bond Plus SDL Apr 2026 50:50 ETF FoF-Reg(G),1.33,3.41,6.63,0.13,3.55,48.3,52
HSBC Equity Savings Fund-Reg(G),2011-10-18,15304,6.5,3.13,4.57,0.32,19.33,62.82,0.41,0.2,0.29,0.32,0.08,0.25,24,12,13,27,24,23,NIFTY 50 Equity Savings Index,HSBC Equity Savings Fund-Reg(G),7.39,2.59,3.98,0.33,18.79,66.11,52
WOC Ultra Short Duration Fund-Reg(G),2019-06-06,42221,0.28,13.97,29.08,0.0,3.93,4749.49,0.02,0.88,1.83,0.0,0.02,18.85,7,16,16,2,18,5,CRISIL Ultra Short Term Debt Index,WOC Ultra Short Duration Fund-Reg(G),0.29,14.25,29.65,0.0,4.17,3126.09,24
Aditya Birla SL FTP-TI-1837D-Reg(G),2021-06-29,45593,0.75,5.88,14.14,0.04,4.31,125.65,0.05,0.37,0.89,0.04,0.02,0.5,55,22,20,22,9,9,CRISIL Medium to Long Term Debt Index,Aditya Birla SL FTP-TI-1837D-Reg(G),0.74,5.74,11.73,0.06,3.16,69.76,92
HDFC NIFTY Smallcap 250 ETF,2023-02-15,46874,18.4,2.67,3.65,0.96,31.85,51.0,1.16,0.17,0.23,0.96,0.13,0.2,108,47,56,58,20,17,Nifty Smallcap 250 - TRI,HDFC NIFTY Smallcap 250 ETF,15.55,2.05,3.31,1.09,15.7,47.58,129
Kotak Healthcare Fund-Reg(G),2023-12-11,47949,,,,,,,,,,,,,,,,,,,Nifty Healthcare Index - TRI,Kotak Healthcare Fund-Reg(G),12.2,3.31,6.12,0.45,32.02,94.7,11
