MF Code,incept_date,schemecode,sdx_returns,sharpex_returns,sotinox_returns,betax_returns,alphax_returns,treynorx_returns,sdy_returns,sharpey_returns,sotinoy_returns,betay_returns,alphay_returns,treynory_returns,rank_sd,rank_sharpe,rank_sotino,rank_beta,rank_alpha,rank_treynor,index_name,s_name,avg_std_dev,avg_sharpe,avg_sotino,avg_beta,avg_alpha,avg_treyno,no_of_funds_total
WOC Multi Asset Allocation Fund-Reg(G),2023-05-19,47946,5.36,3.46,5.48,0.94,14.87,19.76,0.34,0.22,0.35,0.94,0.06,0.08,2,1,2,4,10,4,CRISIL Short Term Bond Index,WOC Multi Asset Allocation Fund-Reg(G),8.9,2.41,3.7,1.49,15.76,0.39,17
Motilal Oswal Liquid Fund-Reg(G),2018-12-19,41872,0.15,9.75,11.75,0.0,1.46,-306.76,0.01,0.61,0.74,0.0,0.01,-1.22,31,33,7,6,6,11,CRISIL Liquid Debt Index,Motilal Oswal Liquid Fund-Reg(G),0.09,10.74,6.95,0.0,0.91,-386.2,37
HSBC Medium Duration Fund-Reg(G),2015-02-02,31014,0.97,4.48,9.05,0.51,2.32,8.44,0.06,0.28,0.57,0.51,0.01,0.03,24,23,22,26,23,25,NIFTY Medium Duration Debt Index,HSBC Medium Duration Fund-Reg(G),0.83,5.57,12.1,0.35,2.85,18.32,30
Edelweiss CRISIL PSU Plus SDL 50:50 Oct 2025 Index Fund-Reg(G),2022-03-10,46448,0.42,8.44,19.26,0.08,3.2,42.01,0.03,0.53,1.21,0.08,0.01,0.17,3,3,3,4,10,4,CRISIL IBX 50:50 PSU + SDL Index - October 2025,Edelweiss CRISIL PSU Plus SDL 50:50 Oct 2025 Index Fund-Reg(G),0.83,5.57,12.1,0.35,2.85,18.32,30
Nippon India Hybrid Bond Fund(G),2004-01-12,2649,1.83,3.22,5.19,0.34,4.54,17.06,0.12,0.2,0.33,0.34,0.02,0.07,1,4,3,2,15,4,CRISIL Hybrid 85+15 - Conservative Index,Nippon India Hybrid Bond Fund(G),3.55,2.72,4.23,0.82,6.28,12.7,19
360 ONE Balanced Hybrid Fund-Reg(G),2023-09-25,48144,7.37,2.46,3.52,1.15,13.63,15.78,0.46,0.16,0.22,1.15,0.05,0.06,25,13,18,24,23,16,NIFTY 50 Hybrid Composite Debt 50:50 Index,360 ONE Balanced Hybrid Fund-Reg(G),7.87,2.17,3.3,1.25,12.62,14.78,53
Motilal Oswal Nifty Smallcap 250 Index Fund-Reg(G),2019-09-06,43811,19.66,1.7,2.38,0.99,14.16,33.97,1.24,0.11,0.15,0.99,0.06,0.13,75,60,88,32,39,43,Nifty Smallcap 250 - TRI,Motilal Oswal Nifty Smallcap 250 Index Fund-Reg(G),16.72,1.86,2.81,1.05,11.36,31.35,102
Aditya Birla SL Special Opp Fund-Reg(G),2020-10-23,45096,14.33,2.22,3.32,0.94,13.33,33.79,0.9,0.14,0.21,0.94,0.05,0.13,24,18,16,30,26,28,BSE 500 - TRI,Aditya Birla SL Special Opp Fund-Reg(G),15.92,2.07,3.1,0.93,13.57,34.29,53
UTI Banking & PSU Fund-Reg(G),2014-02-03,21956,0.72,5.57,11.27,0.29,2.85,13.73,0.05,0.35,0.71,0.29,0.01,0.05,14,15,13,12,10,11,NIFTY Banking and PSU Debt Index,UTI Banking & PSU Fund-Reg(G),0.71,5.77,11.63,0.3,2.77,14.73,25
DSP NIFTY 1D Rate Liquid ETF,2018-03-14,38904,0.13,7.54,9.42,0.0,0.96,-390.5,0.01,0.47,0.59,0.0,0.0,-1.55,3,5,8,2,16,19,Nifty 1D Rate Index,DSP NIFTY 1D Rate Liquid ETF,0.92,5.17,9.33,0.42,2.31,-21.69,20
Axis Global Equity Alpha FoF-Reg(G),2020-09-24,23016,13.42,1.99,3.01,0.62,24.34,42.71,0.85,0.13,0.19,0.62,0.1,0.17,15,26,33,8,27,10,MSCI World,Axis Global Equity Alpha FoF-Reg(G),16.21,1.74,3.0,1.48,21.41,18.29,57
ICICI Pru Silver ETF FOF(G),2022-02-01,46215,21.92,1.28,2.39,1.83,20.76,15.27,1.38,0.08,0.15,1.83,0.08,0.06,52,48,49,42,11,26,Silver,ICICI Pru Silver ETF FOF(G),9.35,2.39,3.9,1.27,14.96,16.81,53
Bandhan Hybrid Equity Fund-Reg(G),2016-12-30,34066,12.15,1.9,2.68,2.29,14.39,10.13,0.77,0.12,0.17,2.29,0.06,0.04,50,44,48,54,18,49,BSE 200 - TRI,Bandhan Hybrid Equity Fund-Reg(G),7.87,2.17,3.3,1.25,12.62,14.78,53
SBI Nifty 500 Index Fund-Reg(G),2024-09-30,49019,,,,,,,,,,,,,,,,,,,NIFTY 500 - TRI,SBI Nifty 500 Index Fund-Reg(G),16.72,1.86,2.81,1.05,11.36,31.35,102
Tata Gilt Securities Fund-Reg(G),1999-09-04,3230,1.73,3.13,6.26,0.93,1.76,5.8,0.11,0.2,0.39,0.93,0.01,0.02,12,15,11,12,16,16,CRISIL Dynamic Gilt Index,Tata Gilt Securities Fund-Reg(G),1.92,3.29,6.51,0.98,1.67,6.84,35
Baroda BNP Paribas Overnight Fund-Reg(G),2019-04-25,43376,0.01,38.85,2.29,0.0,0.3,1365.21,0.0,2.45,0.14,0.0,0.0,5.42,3,3,18,20,20,10,CRISIL Liquid Overnight Index,Baroda BNP Paribas Overnight Fund-Reg(G),0.04,24.86,4.05,0.0,0.47,424.97,35
Old Bridge Focused Equity Fund-Reg(G),2024-01-24,48527,,,,,,,,,,,,,,,,,,,BSE 500 - TRI,Old Bridge Focused Equity Fund-Reg(G),14.68,2.02,2.98,0.94,11.13,31.53,45
HDFC NIFTY200 Momentum 30 Index Fund-Reg(G),2024-02-28,48466,,,,,,,,,,,,,,,,,,,Nifty200 Momentum 30 - TRI,HDFC NIFTY200 Momentum 30 Index Fund-Reg(G),16.72,1.86,2.81,1.05,11.36,31.35,102
HDFC NIFTY G-Sec Jun 2036 Index Fund-Reg(G),2023-03-15,47714,2.71,2.71,4.69,1.39,1.86,5.27,0.17,0.17,0.3,1.39,0.01,0.02,15,14,15,14,14,13,Nifty G-Sec Jun 2036 Index,HDFC NIFTY G-Sec Jun 2036 Index Fund-Reg(G),2.35,3.06,5.79,1.2,2.35,6.34,20
Invesco India Manufacturing Fund-Reg(G),2024-08-14,47579,,,,,,,,,,,,,,,,,,,Nifty India Manufacturing - TRI,Invesco India Manufacturing Fund-Reg(G),15.92,2.07,3.1,0.93,13.57,34.29,53
PGIM India ELSS Tax Saver Fund-Reg(G),2015-12-11,26780,12.57,1.64,2.45,0.84,4.06,24.39,0.79,0.1,0.15,0.84,0.02,0.1,10,48,45,15,52,51,NIFTY 500 - TRI,PGIM India ELSS Tax Saver Fund-Reg(G),14.61,1.97,2.91,0.91,10.82,31.54,59
ICICI Pru Nifty Alpha Low - Volatility 30 ETF FOF(G),2021-09-20,45389,12.15,2.95,4.93,1.12,31.53,32.03,0.77,0.19,0.31,1.12,0.13,0.13,39,10,7,25,2,6,NIFTY Alpha Low-Volatility 30 - TRI,ICICI Pru Nifty Alpha Low - Volatility 30 ETF FOF(G),9.35,2.39,3.9,1.27,14.96,16.81,53
Franklin India Corp Debt Fund-A(G),1997-06-23,3381,0.53,6.85,13.71,0.19,2.85,18.75,0.03,0.43,0.86,0.19,0.01,0.07,1,3,2,1,10,2,NIFTY Corporate Bond Index,Franklin India Corp Debt Fund-A(G),0.74,5.68,10.98,0.34,2.81,12.74,21
HDFC Dynamic Debt Fund(G),1997-04-28,1274,1.74,3.1,5.15,0.91,1.81,5.92,0.11,0.2,0.32,0.91,0.01,0.02,8,7,8,9,8,8,NIFTY Composite Debt Index,HDFC Dynamic Debt Fund(G),1.84,3.3,6.1,0.93,1.59,13.86,22
ITI Large & Mid Cap Fund-Reg(G),2024-09-11,48956,,,,,,,,,,,,,,,,,,,NIFTY LargeMidcap 250 - TRI,ITI Large & Mid Cap Fund-Reg(G),15.24,2.1,3.06,0.94,13.17,33.64,26
UTI India Consumer Fund-Reg(G),2007-07-30,3581,12.26,2.34,4.17,0.67,15.7,43.19,0.77,0.15,0.26,0.67,0.06,0.17,10,9,6,10,8,9,Nifty India Consumption - TRI,UTI India Consumer Fund-Reg(G),12.34,2.26,3.83,0.65,15.18,42.93,15
360 ONE Dynamic Bond Fund-Reg(G),2013-06-24,17578,1.43,4.46,8.37,0.63,3.93,10.21,0.09,0.28,0.53,0.63,0.02,0.04,4,3,3,6,1,4,CRISIL Dynamic Bond Index,360 ONE Dynamic Bond Fund-Reg(G),1.84,3.3,6.1,0.93,1.59,13.86,22
LIC MF Nifty 100 ETF,2016-03-17,33578,14.16,1.87,2.77,1.02,6.38,25.83,0.89,0.12,0.17,1.02,0.03,0.1,62,65,74,93,90,80,NIFTY 100 - TRI,LIC MF Nifty 100 ETF,16.6,1.82,2.93,1.1,11.73,34.92,141
Kotak Credit Risk Fund(G),2010-05-11,8472,1.89,2.13,2.74,0.29,2.9,14.09,0.12,0.13,0.17,0.29,0.01,0.06,13,14,15,11,9,10,CRISIL Credit Risk Debt Index,Kotak Credit Risk Fund(G),1.04,5.0,10.9,0.29,3.04,-6.19,15
TRUSTMF Flexi Cap Fund-Reg(G),2024-04-26,48451,,,,,,,,,,,,,,,,,,,NIFTY 500 - TRI,TRUSTMF Flexi Cap Fund-Reg(G),14.68,2.02,2.98,0.94,11.13,31.53,45
Kotak Nifty 50 Index Fund-Reg(G),2021-06-21,45556,13.53,1.66,2.53,0.99,2.82,22.53,0.85,0.1,0.16,0.99,0.01,0.09,32,77,73,44,85,80,NIFTY 50 - TRI,Kotak Nifty 50 Index Fund-Reg(G),16.72,1.86,2.81,1.05,11.36,31.35,102
Mirae Asset S&P 500 Top 50 ETF,2021-09-21,45835,14.76,2.63,4.39,0.18,38.15,216.39,0.93,0.17,0.28,0.18,0.15,0.86,70,7,14,2,3,2,S&P 500 Top 50 TRI,Mirae Asset S&P 500 Top 50 ETF,16.6,1.82,2.93,1.1,11.73,34.92,141
HDFC Nifty G-Sec Jun 2027 Index Fund-Reg(G),2022-12-09,46618,0.87,5.07,11.29,0.39,2.9,11.42,0.05,0.32,0.71,0.39,0.01,0.05,4,4,4,5,3,4,Nifty G-Sec Jun 2027 Index,HDFC Nifty G-Sec Jun 2027 Index Fund-Reg(G),1.92,3.29,6.51,0.98,1.67,6.84,35
Nippon India Index Fund-BSE Sensex Plan(G),2010-09-28,12865,13.44,1.53,2.36,1.0,1.03,20.64,0.85,0.1,0.15,1.0,0.0,0.08,12,93,92,55,94,93,BSE SENSEX - TRI,Nippon India Index Fund-BSE Sensex Plan(G),16.72,1.86,2.81,1.05,11.36,31.35,102
Mirae Asset Nifty SDL Jun 2027 Index Fund-Reg(G),2022-03-30,46134,0.83,5.89,13.27,0.25,3.91,19.35,0.05,0.37,0.84,0.25,0.02,0.08,17,12,14,14,2,8,Nifty SDL Jun 2027 Index,Mirae Asset Nifty SDL Jun 2027 Index Fund-Reg(G),1.16,4.71,10.28,0.48,2.9,12.91,52
Baroda BNP Paribas Conservative Hybrid Fund-Reg(G),2004-09-23,210,3.53,2.47,3.54,0.74,5.77,11.72,0.22,0.16,0.22,0.74,0.02,0.05,9,14,16,8,12,12,CRISIL Hybrid 85+15 - Conservative Index,Baroda BNP Paribas Conservative Hybrid Fund-Reg(G),3.55,2.72,4.23,0.82,6.28,12.7,19
LIC MF Infra Fund-Reg(G),2008-03-24,4324,21.11,2.3,3.32,1.04,28.15,46.57,1.33,0.15,0.21,1.04,0.11,0.18,16,3,2,4,1,1,Nifty Infrastructure - TRI,LIC MF Infra Fund-Reg(G),19.36,2.03,2.84,1.1,17.6,35.7,19
Axis Value Fund-Reg(G),2021-09-22,45838,14.76,2.48,3.56,0.95,18.14,38.61,0.93,0.16,0.22,0.95,0.07,0.15,10,6,6,7,4,4,NIFTY 500 - TRI,Axis Value Fund-Reg(G),15.48,2.22,3.26,0.98,14.56,35.09,22
Franklin India NSE Nifty 50 Index Fund(G),2000-08-04,942,13.46,1.66,2.53,0.99,2.87,22.5,0.85,0.1,0.16,0.99,0.01,0.09,17,76,71,36,82,81,NIFTY 50,Franklin India NSE Nifty 50 Index Fund(G),16.72,1.86,2.81,1.05,11.36,31.35,102
LIC MF Nifty Midcap 100 ETF,2024-02-19,48473,,,,,,,,,,,,,,,,,,,Nifty Midcap 100 - TRI,LIC MF Nifty Midcap 100 ETF,16.6,1.82,2.93,1.1,11.73,34.92,141
Tata Nifty 50 ETF,2019-01-01,41017,13.51,1.69,2.59,0.99,3.38,23.01,0.85,0.11,0.16,0.99,0.01,0.09,48,88,97,79,108,92,NIFTY 50 - TRI,Tata Nifty 50 ETF,16.6,1.82,2.93,1.1,11.73,34.92,141
Sundaram Corp Bond Fund(G),2004-12-30,2955,0.79,5.32,10.72,0.37,2.75,11.29,0.05,0.34,0.68,0.37,0.01,0.04,15,15,10,13,13,13,NIFTY Corporate Bond Index,Sundaram Corp Bond Fund(G),0.74,5.68,10.98,0.34,2.81,12.74,21
Baroda BNP Paribas Focused Fund-Reg(G),2017-10-06,32452,18.18,1.44,2.02,1.12,4.31,23.46,1.15,0.09,0.13,1.12,0.02,0.09,43,44,44,44,43,43,NIFTY 500 - TRI,Baroda BNP Paribas Focused Fund-Reg(G),14.68,2.02,2.98,0.94,11.13,31.53,45
360 ONE Liquid Fund-Reg(G),2013-11-13,15687,0.16,10.63,13.07,-0.01,1.66,-272.56,0.01,0.67,0.82,-0.01,0.01,-1.08,35,19,2,2,2,5,CRISIL Liquid Debt Index,360 ONE Liquid Fund-Reg(G),0.09,10.74,6.95,0.0,0.91,-386.2,37
Bank of India Multi Cap Fund-Reg(G),2023-03-03,46115,17.46,1.85,2.55,1.04,11.89,31.0,1.1,0.12,0.16,1.04,0.05,0.12,34,30,31,35,22,24,Nifty500 Multicap 50:25:25 - TRI,Bank of India Multi Cap Fund-Reg(G),14.74,2.07,3.04,0.91,12.25,33.15,36
Axis NIFTY 50 ETF,2017-07-03,33980,13.42,1.69,2.6,0.99,3.81,22.88,0.85,0.11,0.16,0.99,0.02,0.09,34,92,95,57,100,99,NIFTY 50 - TRI,Axis NIFTY 50 ETF,16.6,1.82,2.93,1.1,11.73,34.92,141
Kotak Silver ETF,2022-12-12,46627,23.02,1.27,2.3,1.99,21.27,14.67,1.45,0.08,0.15,1.99,0.08,0.06,18,14,12,18,4,18,Silver,Kotak Silver ETF,17.09,1.49,2.45,1.02,20.32,41.43,22
Kotak Global Innovation FoF-Reg(G),2021-07-29,45334,15.68,2.21,3.81,0.8,31.65,43.09,0.99,0.14,0.24,0.8,0.13,0.17,28,13,11,11,15,8,MSCI AC World Index,Kotak Global Innovation FoF-Reg(G),16.21,1.74,3.0,1.48,21.41,18.29,57
Quant BFSI Fund-Reg(G),2023-06-20,47989,20.26,1.35,1.95,1.12,5.39,24.42,1.28,0.08,0.12,1.12,0.02,0.1,17,7,7,15,4,4,Nifty Financial Services - TRI,Quant BFSI Fund-Reg(G),16.48,1.3,1.9,1.05,0.82,20.43,17
Franklin India Equity Savings Fund(G),2018-08-27,39645,2.49,2.9,4.62,0.38,5.75,19.0,0.16,0.18,0.29,0.38,0.02,0.08,5,5,6,6,50,5,NIFTY 50 Equity Savings Index,Franklin India Equity Savings Fund(G),7.87,2.17,3.3,1.25,12.62,14.78,53
Bajaj Finserv Arbitrage Fund-Reg(G),2023-09-15,48064,1.01,2.57,5.9,-0.12,3.07,-21.09,0.06,0.16,0.37,-0.12,0.01,-0.08,11,23,22,18,24,5,Nifty 50 Arbitrage,Bajaj Finserv Arbitrage Fund-Reg(G),1.02,3.0,6.67,-0.12,3.56,-23.43,25
SBI Magnum Comma Fund-Reg(G),2005-08-08,2750,21.41,1.35,1.88,1.21,5.49,23.94,1.35,0.09,0.12,1.21,0.02,0.1,48,51,51,48,48,51,NIFTY COMMODITIES - TRI,SBI Magnum Comma Fund-Reg(G),15.92,2.07,3.1,0.93,13.57,34.29,53
Aditya Birla SL CRISIL IBX Gilt Apr 2029 Index Fund-Reg(G),2022-10-19,46950,1.35,3.88,7.59,0.64,2.72,8.19,0.09,0.24,0.48,0.64,0.01,0.03,10,9,9,10,7,8,CRISIL IBX Gilt Index - April 2029,Aditya Birla SL CRISIL IBX Gilt Apr 2029 Index Fund-Reg(G),1.92,3.29,6.51,0.98,1.67,6.84,35
Canara Rob Ultra Short Term Fund-Reg(G),2008-07-11,5902,0.29,9.48,19.33,0.02,2.62,113.4,0.02,0.6,1.22,0.02,0.01,0.45,7,17,20,22,20,23,CRISIL Ultra Short Term Debt Index,Canara Rob Ultra Short Term Fund-Reg(G),0.3,10.08,20.95,0.01,2.94,202.13,24
HDFC MNC Fund-Reg(G),2023-03-09,47648,12.57,1.46,2.27,0.68,4.99,26.94,0.79,0.09,0.14,0.68,0.02,0.11,5,4,4,5,4,4,NIFTY MNC - TRI,HDFC MNC Fund-Reg(G),11.16,1.71,2.68,0.57,8.16,33.4,5
ICICI Pru Retirement Fund-Hybrid Aggressive Plan(G),2019-02-27,25669,14.82,2.2,3.14,2.09,24.54,15.62,0.93,0.14,0.2,2.09,0.1,0.06,36,17,19,34,3,6,CRISIL Hybrid 35+65 - Aggressive Index,ICICI Pru Retirement Fund-Hybrid Aggressive Plan(G),9.32,2.27,3.54,1.66,13.4,12.58,39
Nippon India US Equity Opp Fund(G),2015-07-23,19246,13.65,2.19,3.71,0.14,27.34,215.69,0.86,0.14,0.23,0.14,0.11,0.86,4,2,4,4,4,3,null,Nippon India US Equity Opp Fund(G),16.26,1.86,3.22,0.25,23.07,155.76,8
Edelweiss Nifty Midcap150 Momentum 50 Index Fund-Reg(G),2022-11-30,47175,20.51,1.99,2.84,1.09,19.45,37.5,1.29,0.13,0.18,1.09,0.08,0.15,90,26,40,76,18,24,Nifty Midcap150 Momentum 50 - TRI,Edelweiss Nifty Midcap150 Momentum 50 Index Fund-Reg(G),16.72,1.86,2.81,1.05,11.36,31.35,102
Sundaram Overnight Fund-Reg(G),2019-03-20,42000,0.01,32.87,2.1,0.0,0.28,2341.86,0.0,2.07,0.13,0.0,0.0,9.29,6,14,29,16,32,3,Nifty 1D Rate Index,Sundaram Overnight Fund-Reg(G),0.04,24.86,4.05,0.0,0.47,424.97,35
DSP Nifty Top 10 Equal Weight Index Fund-Reg(G),2024-09-05,49011,,,,,,,,,,,,,,,,,,,Nifty Top 10 Equal Weight - TRI,DSP Nifty Top 10 Equal Weight Index Fund-Reg(G),16.72,1.86,2.81,1.05,11.36,31.35,102
Motilal Oswal Manufacturing Fund-Reg(G),2024-08-08,48962,,,,,,,,,,,,,,,,,,,Nifty India Manufacturing - TRI,Motilal Oswal Manufacturing Fund-Reg(G),15.92,2.07,3.1,0.93,13.57,34.29,53
SBI Nifty Midcap 150 Index Fund-Reg(G),2022-10-03,45376,17.2,1.91,2.74,0.98,13.99,33.72,1.08,0.12,0.17,0.98,0.06,0.13,55,41,50,25,44,50,Nifty Midcap 150 - TRI,SBI Nifty Midcap 150 Index Fund-Reg(G),16.72,1.86,2.81,1.05,11.36,31.35,102
Union Aggressive Hybrid Fund-Reg(G),2020-12-18,44512,10.86,1.84,2.63,1.76,13.1,11.31,0.68,0.12,0.17,1.76,0.05,0.04,43,48,49,44,25,45,CRISIL Hybrid 35+65 - Aggressive Index,Union Aggressive Hybrid Fund-Reg(G),7.87,2.17,3.3,1.25,12.62,14.78,53
DSP NIFTY 50 Index Fund-Reg(G),2019-02-21,41642,13.5,1.67,2.55,0.99,3.0,22.63,0.85,0.1,0.16,0.99,0.01,0.09,25,71,66,42,77,76,NIFTY 50 - TRI,DSP NIFTY 50 Index Fund-Reg(G),16.72,1.86,2.81,1.05,11.36,31.35,102
Navi Nifty Next 50 Index Fund-Reg(G),2022-01-19,45860,19.8,2.29,3.3,1.14,22.93,39.66,1.25,0.14,0.21,1.14,0.09,0.16,86,18,22,93,14,19,NIFTY NEXT 50 - TRI,Navi Nifty Next 50 Index Fund-Reg(G),16.72,1.86,2.81,1.05,11.36,31.35,102
UTI Gilt Fund-Reg(G),2002-01-21,3560,2.2,2.59,4.67,1.18,1.06,4.84,0.14,0.16,0.29,1.18,0.0,0.02,20,21,21,20,22,21,CRISIL Dynamic Gilt Index,UTI Gilt Fund-Reg(G),1.92,3.29,6.51,0.98,1.67,6.84,35
HDFC Nifty G-Sec Jul 2031 Index Fund-Reg(G),2022-11-10,46620,1.75,3.47,6.79,0.94,2.37,6.48,0.11,0.22,0.43,0.94,0.01,0.03,13,10,10,13,10,11,Nifty G-Sec July 2031 Index,HDFC Nifty G-Sec Jul 2031 Index Fund-Reg(G),1.92,3.29,6.51,0.98,1.67,6.84,35
Nippon India Equity Savings Fund(G),2015-05-30,30963,3.51,2.29,3.47,0.57,5.82,14.04,0.22,0.14,0.22,0.57,0.02,0.06,8,21,20,10,48,27,NIFTY 50 Equity Savings Index,Nippon India Equity Savings Fund(G),7.87,2.17,3.3,1.25,12.62,14.78,53
Tata Housing Opportunities Fund-Reg(G),2022-09-02,46764,16.16,1.47,2.14,0.98,4.66,24.37,1.02,0.09,0.13,0.98,0.02,0.1,34,48,49,35,51,50,Nifty Housing - TRI,Tata Housing Opportunities Fund-Reg(G),15.92,2.07,3.1,0.93,13.57,34.29,53
Samco Flexi Cap Fund-Reg(G),2022-02-04,46217,16.87,0.53,0.78,0.86,-7.89,10.43,1.06,0.03,0.05,0.86,-0.03,0.04,37,45,45,11,45,45,NIFTY 500 - TRI,Samco Flexi Cap Fund-Reg(G),14.68,2.02,2.98,0.94,11.13,31.53,45
DSP FMP 267-1246D-Reg(G),2022-11-14,47071,0.75,5.56,12.13,0.27,3.1,15.3,0.05,0.35,0.76,0.27,0.01,0.06,75,43,42,77,30,52,CRISIL Medium Duration Debt Index,DSP FMP 267-1246D-Reg(G),0.62,5.43,11.49,0.19,2.44,98.12,91
Edelweiss Technology Fund-Reg(G),2024-03-05,43844,,,,,,,,,,,,,,,,,,,BSE TECk Index - TRI,Edelweiss Technology Fund-Reg(G),16.13,2.05,3.94,0.78,17.84,43.41,7
SBI FMP-66-1361D-Reg(G),2022-07-19,46633,0.44,3.14,6.01,0.11,1.06,12.95,0.03,0.2,0.38,0.11,0.0,0.05,23,78,75,22,75,61,CRISIL Medium Duration Debt Index,SBI FMP-66-1361D-Reg(G),0.62,5.43,11.49,0.19,2.44,98.12,91
Samco Dynamic Asset Allocation Fund-Reg(G),2023-12-28,48331,,,,,,,,,,,,,,,,,,,NIFTY 50 Hybrid Composite Debt 50:50 Index,Samco Dynamic Asset Allocation Fund-Reg(G),8.71,2.13,3.13,1.52,12.42,12.87,28
JM Aggressive Hybrid Fund(G),1995-04-01,1847,12.97,2.63,3.98,1.74,27.39,19.66,0.82,0.17,0.25,1.74,0.11,0.08,51,8,10,43,1,4,CRISIL Hybrid 35+65 - Aggressive Index,JM Aggressive Hybrid Fund(G),7.87,2.17,3.3,1.25,12.62,14.78,53
WOC Large Cap Fund-Reg(G),2022-12-01,47079,14.22,2.15,3.19,0.98,11.26,31.05,0.9,0.14,0.2,0.98,0.04,0.12,24,7,9,25,11,11,BSE 100 - TRI,WOC Large Cap Fund-Reg(G),13.97,1.94,2.92,0.95,8.37,28.52,36
Aditya Birla SL Equity Savings Fund-Reg(G),2014-11-28,30757,2.57,2.45,4.0,0.43,4.66,14.79,0.16,0.15,0.25,0.43,0.02,0.06,6,14,9,8,52,21,NIFTY 50 Equity Savings Index - TRI,Aditya Birla SL Equity Savings Fund-Reg(G),7.87,2.17,3.3,1.25,12.62,14.78,53
Mirae Asset Overnight Fund-Reg(G),2019-10-15,44008,0.01,33.64,2.35,0.0,0.33,920.86,0.0,2.12,0.15,0.0,0.0,3.65,13,13,16,32,17,19,Nifty 1D Rate Index,Mirae Asset Overnight Fund-Reg(G),0.04,24.86,4.05,0.0,0.47,424.97,35
PGIM India Large Cap Fund(G),2003-01-30,758,12.71,1.47,2.24,0.91,0.93,20.64,0.8,0.09,0.14,0.91,0.0,0.08,7,36,35,11,36,36,NIFTY 100 - TRI,PGIM India Large Cap Fund(G),13.97,1.94,2.92,0.95,8.37,28.52,36
Baroda BNP Paribas Business Cycle Fund-Reg(G),2021-09-15,45686,14.56,2.26,3.3,0.94,14.46,35.03,0.92,0.14,0.21,0.94,0.06,0.14,25,17,18,29,23,22,BSE 500 - TRI,Baroda BNP Paribas Business Cycle Fund-Reg(G),15.92,2.07,3.1,0.93,13.57,34.29,53
Nippon India ETF Hang Seng BeES,2010-03-09,8564,25.3,0.88,1.52,1.19,17.34,18.75,1.59,0.06,0.1,1.19,0.07,0.07,134,135,121,123,47,120,Hang Seng,Nippon India ETF Hang Seng BeES,16.6,1.82,2.93,1.1,11.73,34.92,141
Motilal Oswal Nifty Bank Index Fund-Reg(G),2019-09-06,43789,17.12,0.92,1.38,1.11,-5.97,14.19,1.08,0.06,0.09,1.11,-0.02,0.06,53,102,102,79,102,102,NIFTY BANK - TRI,Motilal Oswal Nifty Bank Index Fund-Reg(G),16.72,1.86,2.81,1.05,11.36,31.35,102
Tata Nifty Midcap 150 Momentum 50 Index Fund-Reg(G),2022-10-20,47010,20.37,1.96,2.8,1.08,18.8,37.04,1.28,0.12,0.18,1.08,0.07,0.15,89,31,42,75,25,27,Nifty Midcap150 Momentum 50 - TRI,Tata Nifty Midcap 150 Momentum 50 Index Fund-Reg(G),16.72,1.86,2.81,1.05,11.36,31.35,102
Axis Gilt Fund-Reg(G),2012-01-23,15652,2.46,2.84,5.21,1.34,1.76,5.22,0.16,0.18,0.33,1.34,0.01,0.02,26,18,16,28,15,19,CRISIL Dynamic Gilt Index,Axis Gilt Fund-Reg(G),1.92,3.29,6.51,0.98,1.67,6.84,35
HDFC Nifty G-Sec Sep 2032 Index Fund-Reg(G),2022-12-09,46872,1.91,3.31,6.18,1.01,2.37,6.27,0.12,0.21,0.39,1.01,0.01,0.02,16,12,13,15,9,12,Nifty G-Sec Sep 2032 Index,HDFC Nifty G-Sec Sep 2032 Index Fund-Reg(G),1.92,3.29,6.51,0.98,1.67,6.84,35
Bank of India Business Cycle Fund-Reg(G),2024-08-30,48964,,,,,,,,,,,,,,,,,,,NIFTY 500 - TRI,Bank of India Business Cycle Fund-Reg(G),15.92,2.07,3.1,0.93,13.57,34.29,53
Axis Gold Fund-Reg(G),2011-10-20,15330,12.11,1.73,3.01,0.64,18.47,32.71,0.76,0.11,0.19,0.64,0.07,0.13,6,7,5,5,11,6,Gold-India,Axis Gold Fund-Reg(G),14.31,1.62,2.81,0.83,19.12,42.85,15
Bandhan Transportation and Logistics Fund-Reg(G),2022-10-25,46986,15.32,2.07,3.19,0.83,15.52,38.03,0.97,0.13,0.2,0.83,0.06,0.15,1,3,4,1,4,4,Nifty Transportation & Logistics - TRI,Bandhan Transportation and Logistics Fund-Reg(G),16.33,2.11,3.38,0.92,17.04,38.65,5
Mahindra Manulife Large Cap Fund-Reg(G),2019-03-15,38073,13.66,1.83,2.7,0.97,5.87,25.6,0.86,0.12,0.17,0.97,0.02,0.1,18,24,23,23,26,25,NIFTY 100 - TRI,Mahindra Manulife Large Cap Fund-Reg(G),13.97,1.94,2.92,0.95,8.37,28.52,36
Motilal Oswal Nifty 50 Index Fund-Reg(G),2019-12-23,44366,13.52,1.66,2.54,1.0,2.9,22.5,0.85,0.1,0.16,1.0,0.01,0.09,28,75,70,48,81,82,NIFTY 50 - TRI,Motilal Oswal Nifty 50 Index Fund-Reg(G),16.72,1.86,2.81,1.05,11.36,31.35,102
WOC Special Opp Fund-Reg(G),2024-06-04,48833,,,,,,,,,,,,,,,,,,,BSE 500 - TRI,WOC Special Opp Fund-Reg(G),15.92,2.07,3.1,0.93,13.57,34.29,53
